CL=F,GC=F,HG=F,NG=F,ZM=F,ZW=F,^GSPC
-14344.197537965603,-9267.938466736312,-11959.035328104537,-17027.899439094348,-12406.010991175972,-13467.19906599211,-9127.909214833078
-14344.199569707655,-9267.860194165887,-11959.030102349181,-17027.892484913667,-12405.97096847534,-13467.301006316064,-9419.820577432743
-14344.190889482676,-9267.862205731104,-11958.715250286581,-17027.892673912356,-12405.869502348429,-13455.736524819102,-9127.92325764932
-14344.195015671741,-9267.863110702196,-11958.694948550856,-17027.895000298347,-12405.869540328003,-13455.736434538043,-9127.909246893574
-14344.198682903576,-9267.860752153148,-11958.717622641816,-17027.898960851577,-12405.91896332302,-13455.747013676479,-9127.91366053075
-14344.194285769569,-9267.860339444178,-11958.695750554749,-17027.895019262396,-12405.984654644748,-13455.736528101006,-9127.909413060466
-14344.190879328387,-9267.902653501453,-11958.69454816546,-17027.89351102926,-12405.86941932101,-13455.736877907235,-9127.909362170063
-14344.190885352702,-9267.935860486483,-11958.715409181314,-17027.89480190895,-12405.869334050429,-13467.19645778539,-9127.910188916152
-14344.191948369182,-9267.860143164002,-11958.694629569489,-17027.89509915909,-12405.975008033161,-13467.196511077998,-9127.915660437113
-14344.19124239826,-9267.860512927073,-11958.694564429341,-17027.89311018939,-12406.003880957753,-13495.756589007391,-9127.909290933982
-14344.191117075068,-9267.860904400608,-11958.694594708835,-17027.908874026984,-12405.993439806185,-13455.736603719137,-9127.909200885226
-14344.192902472685,-9267.903443295068,-11958.694545709994,-17027.902840695937,-12405.969034780526,-13467.196334219294,-9127.909281616132
