,RF,XGB,SVC-RBF,LogReg_en,NB
BAA10Y,0.02037037037037038,-0.013768115942028905,0.009420289855072457,0.024436392914653726,0.0
GPR,0.0,-0.03997584541062795,0.008816425120772938,-0.008252818035426804,0.001127214170692433
T10Y2Y,0.0,0.0,0.015217391304347816,-0.00044283413848638097,0.00797101449275366
^VIX,-0.011916264090177124,0.02838164251207733,0.0051932367149758385,0.019363929146537773,0.011392914653784274
asset_correl_t-10,0.0,0.005515297906602323,0.015217391304347816,0.0,-0.007971014492753618
asset_correl_t-15,0.01296296296296297,0.00648148148148151,0.009420289855072457,0.10293880837359094,-0.007769726247987111
asset_correl_t-20,0.011111111111111117,-0.009178743961352601,0.013043478260869556,0.0,-0.015942028985507235
asset_correl_t-30,-0.012962962962962931,0.003059581320450914,-0.00740740740740741,-0.00012077294685997423,-0.030112721417069215
asset_panic_t-10,0.01018518518518519,0.002053140096618374,0.006521739130434778,0.0,-0.020692431561996755
asset_panic_t-15,0.0036634460547504116,0.0,0.005797101449275358,0.05636070853462154,-0.02161835748792268
asset_panic_t-20,0.0,0.0,0.0,0.0,-0.02161835748792268
asset_panic_t-30,0.0,-0.002777777777777768,0.007971014492753618,-0.006239935587761732,-0.018719806763285003
asset_panic_t-5,-0.041545893719806735,-0.024677938808373538,0.0,-0.008776167471819715,-0.01706924315619966
intra_day_range,0.0009259259259259263,-0.03631239935587757,0.007246376811594198,-0.026570048309178793,-0.0009259259259259263
max_drawdown_t-10,0.0,0.0,-0.003623188405797099,-0.0021336553945250246,0.0
max_drawdown_t-15,0.0,0.014573268921095051,0.0021739130434782596,0.0,0.0
max_drawdown_t-20,0.0,0.0,0.007246376811594198,-0.005314009661835809,-0.0026167471819645662
max_drawdown_t-30,0.0,0.05334138486312403,0.042753623188405795,0.13538647342995164,0.023188405797101477
max_drawdown_t-5,0.0,0.007769726247987189,0.0057568438003220606,0.04943639291465373,-0.002214170692431553
max_panic_t-10,-0.004629629629629595,-0.024919484702093354,-0.01505636070853464,0.015780998389693966,-0.0015297906602254163
max_panic_t-15,0.00740740740740741,-0.012037037037036994,0.0004025764895329946,0.026529790660225365,-0.0023349436392914313
max_panic_t-20,0.02037037037037038,0.0,0.02628824476650563,0.005998389694041794,-4.02576489532606e-05
max_panic_t-30,0.0,0.0,0.013768115942028977,0.04927536231884053,0.0
max_panic_t-5,0.001167471819645749,-0.031521739130434726,-0.0318035426731079,0.10213365539452492,-0.020128824476650535
mean_panic_onset,-0.02793880837359096,0.044605475040257685,-0.013244766505636075,0.06831723027375194,0.0
momentum_t-10,0.005555555555555558,0.0,0.01803542673107889,0.0,0.0032608695652173985
momentum_t-15,0.003864734299516918,-0.03651368760064408,-0.00921900161030597,0.0039452495974234315,-0.002898550724637679
momentum_t-20,0.00740740740740741,0.003985507246376866,0.021014492753623173,0.07101449275362315,-0.003945249597423506
momentum_t-30,0.026851851851851863,0.022463768115942084,0.0014492753623188395,0.0,0.004146537842190031
momentum_t-5,0.0,0.0,0.006119162640901765,0.04275362318840575,-0.001247987117552333
onset_return,0.06803542673107892,0.15454911433172305,0.018156199677938804,0.047302737520128764,0.010587761674718222
vola_ratio,-0.0011272141706924256,-0.016988727858293005,-0.024959742351046723,-0.005797101449275429,-0.0051529790660225115
vola_t_10,0.0014492753623188395,-0.006481481481481459,0.01356682769726248,0.10519323671497581,-0.01284219001610305
vola_t_15,-0.0033816425120772836,0.0,0.016706924315619966,0.12210144927536225,0.010869565217391334
vola_t_20,-0.005958132045088545,0.0,0.01296296296296296,0.1169082125603864,0.01179549114331726
vola_t_30,-0.005032206119162619,0.02749597423510476,0.025966183574879224,0.12246376811594199,0.011473429951690853
vola_t_5,0.0,0.0036634460547504597,-0.0138083735909823,-0.021819645732689276,-0.020249597423510412
