tkr,year,onset,end,duration
CL=F,2001,2001-09-24,2001-09-24,1
CL=F,2001,2001-11-14,2001-11-16,3
CL=F,2003,2003-03-18,2003-03-21,4
CL=F,2008,2008-09-17,2009-01-27,91
CL=F,2009,2009-02-12,2009-03-12,20
CL=F,2015,2015-02-02,2015-02-04,3
CL=F,2015,2015-08-27,2015-09-01,4
CL=F,2016,2016-01-20,2016-02-12,18
CL=F,2019,2019-09-16,2019-09-16,1
CL=F,2020,2020-03-06,2020-05-18,50
CL=F,2021,2021-11-26,2021-11-26,1
CL=F,2022,2022-03-01,2022-03-18,14
CL=F,2026,2026-03-05,2026-04-20,32
GC=F,2001,2001-09-14,2001-09-14,1
GC=F,2003,2003-02-12,2003-02-19,5
GC=F,2006,2006-02-07,2006-02-13,5
GC=F,2006,2006-04-17,2006-07-21,67
GC=F,2006,2006-09-05,2006-09-18,10
GC=F,2006,2006-09-28,2006-10-04,5
GC=F,2007,2007-11-12,2007-11-28,12
GC=F,2008,2008-03-19,2009-04-07,266
GC=F,2011,2011-08-08,2011-12-15,92
GC=F,2013,2013-04-12,2013-07-08,60
GC=F,2013,2013-09-12,2013-10-02,15
GC=F,2020,2020-02-27,2020-04-17,36
GC=F,2020,2020-08-07,2020-08-18,8
GC=F,2022,2022-03-04,2022-03-09,4
GC=F,2025,2025-04-03,2025-05-23,36
GC=F,2025,2025-10-08,2025-10-27,14
GC=F,2025,2025-12-29,2026-04-13,72
GC=F,2026,2026-06-01,2026-07-23,37
HG=F,2004,2004-04-20,2004-04-21,2
HG=F,2004,2004-10-13,2004-10-13,1
HG=F,2004,2004-10-29,2004-10-29,1
HG=F,2005,2005-01-03,2005-01-04,2
HG=F,2005,2005-05-26,2005-05-27,2
HG=F,2005,2005-11-29,2005-11-29,1
HG=F,2006,2006-04-21,2006-07-06,52
HG=F,2006,2006-11-10,2006-11-10,1
HG=F,2007,2007-01-03,2007-01-03,1
HG=F,2007,2007-08-16,2007-08-16,1
HG=F,2007,2007-11-14,2007-11-21,6
HG=F,2008,2008-09-29,2009-05-05,151
HG=F,2009,2009-06-01,2009-06-15,11
HG=F,2010,2010-05-17,2010-05-21,5
HG=F,2011,2011-09-22,2011-10-27,26
HG=F,2020,2020-03-17,2020-03-18,2
HG=F,2021,2021-04-27,2021-04-28,2
HG=F,2022,2022-07-05,2022-07-12,6
HG=F,2022,2022-10-28,2022-11-04,6
HG=F,2025,2025-04-03,2025-04-08,4
HG=F,2025,2025-07-08,2025-07-09,2
HG=F,2025,2025-07-31,2025-07-31,1
HG=F,2025,2025-12-26,2026-01-05,6
HG=F,2026,2026-01-29,2026-02-03,4
NG=F,2000,2000-12-06,2000-12-15,8
NG=F,2001,2001-01-02,2001-01-02,1
NG=F,2001,2001-01-17,2001-01-17,1
NG=F,2001,2001-01-31,2001-02-05,4
