tkr,year,onset,end,duration,step
NG=F,2000,2000-12-15,2000-12-15,1,0->1
NG=F,2000,2000-12-11,2000-12-15,5,1->2
NG=F,2020,2020-09-29,2020-09-29,1,1->2
ZM=F,2004,2004-07-21,2004-07-22,2,1->2
ZM=F,2009,2009-07-13,2009-07-16,4,1->2
ZM=F,2021,2021-07-06,2021-07-06,1,1->2
^GSPC,2011,2011-11-09,2011-11-09,1,1->2
NG=F,2022,2022-07-07,2022-07-07,1,2->3
ZM=F,2004,2004-05-26,2004-06-03,6,2->3
ZM=F,2004,2004-07-28,2004-07-28,1,2->3
ZM=F,2008,2008-03-14,2008-03-25,7,2->3
ZM=F,2008,2008-03-31,2008-03-31,1,2->3
ZW=F,2022,2022-07-22,2022-07-22,1,2->3
^GSPC,2008,2008-12-29,2009-04-21,78,2->3
ZM=F,2014,2014-08-22,2014-08-27,4,3->4
ZW=F,2023,2023-07-12,2023-07-31,14,3->4
^GSPC,2011,2011-09-19,2011-11-09,38,3->4
ZM=F,2009,2009-09-14,2009-09-14,1,4->5
ZW=F,2012,2012-07-03,2012-07-05,2,4->5
ZM=F,2013,2013-07-24,2013-07-26,3,5->6
ZW=F,2022,2022-05-31,2022-06-01,2,5->6
GC=F,2006,2006-09-28,2006-10-04,5,6->7
NG=F,2009,2009-09-29,2009-09-29,1,6->7
ZM=F,2014,2014-10-27,2014-10-30,4,6->7
NG=F,2022,2022-01-27,2022-02-03,6,7->8
ZM=F,2008,2008-09-29,2008-10-10,10,7->8
NG=F,2001,2001-01-02,2001-01-02,1,8->9
NG=F,2001,2001-01-17,2001-01-17,1,8->9
NG=F,2001,2001-01-31,2001-02-05,4,8->9
ZM=F,2004,2004-08-11,2004-08-11,1,8->9
ZM=F,2008,2008-08-04,2008-08-18,11,8->9
ZM=F,2014,2014-09-11,2014-09-15,3,8->9
NG=F,2022,2022-06-30,2022-07-07,5,9->10
ZM=F,2009,2009-09-01,2009-09-14,9,9->10
ZW=F,2010,2010-07-30,2010-08-10,8,9->10
^GSPC,2002,2002-09-19,2002-10-16,20,9->10
