min_duration,CL=F,GC=F,HG=F,NG=F,ZM=F,ZW=F,^GSPC,TOTAL
0,13 (6%),18 (9%),24 (12%),36 (18%),54 (26%),38 (19%),21 (10%),204
1,13 (6%),18 (9%),24 (12%),36 (18%),54 (26%),38 (19%),21 (10%),204
2,10 (8%),17 (13%),17 (13%),10 (8%),30 (23%),29 (22%),18 (14%),131
3,10 (10%),17 (17%),11 (11%),8 (8%),16 (16%),24 (23%),17 (17%),103
4,8 (9%),17 (18%),11 (12%),8 (9%),12 (13%),22 (23%),16 (17%),94
5,6 (8%),16 (21%),9 (12%),7 (9%),8 (10%),17 (22%),14 (18%),77
6,6 (8%),13 (18%),8 (11%),6 (8%),7 (10%),17 (24%),14 (20%),71
7,6 (10%),13 (22%),4 (7%),3 (5%),6 (10%),15 (26%),11 (19%),58
8,6 (11%),13 (25%),4 (8%),3 (6%),4 (8%),13 (25%),10 (19%),53
9,6 (13%),12 (26%),4 (9%),1 (2%),3 (7%),10 (22%),10 (22%),46
10,6 (13%),12 (26%),4 (9%),1 (2%),3 (7%),10 (22%),10 (22%),46
