Cluster_ID,Cluster_Start,Cluster_End,Episodes,Assets_involved,Assets,Median_Duration,Min_Duration,Max_Duration,type
0,2000-03-16,2000-04-13,2,1,^GSPC,2.5,1,4,ideosyncratic
1,2000-07-17,2000-07-17,1,1,ZM=F,1.0,1,1,ideosyncratic
2,2000-12-06,2001-03-09,6,2,"NG=F,^GSPC",3.0,1,23,multi-asset
3,2001-07-13,2001-07-13,1,1,ZW=F,1.0,1,1,ideosyncratic
4,2001-09-14,2001-09-27,4,4,"CL=F,GC=F,NG=F,^GSPC",1.0,1,6,multi-asset
5,2001-11-14,2001-12-27,2,2,"CL=F,NG=F",2.0,1,3,multi-asset
6,2002-07-05,2002-07-05,1,1,^GSPC,43.0,43,43,ideosyncratic
7,2002-09-19,2002-10-15,2,2,"ZW=F,^GSPC",10.5,1,20,multi-asset
8,2003-02-12,2003-03-18,3,3,"CL=F,GC=F,NG=F",5.0,4,6,multi-asset
9,2003-05-09,2003-05-09,1,1,ZW=F,1.0,1,1,ideosyncratic
10,2003-07-14,2003-07-14,1,1,ZM=F,2.0,2,2,ideosyncratic
11,2003-09-15,2003-09-15,1,1,ZM=F,1.0,1,1,ideosyncratic
12,2003-12-30,2003-12-30,1,1,ZW=F,3.0,3,3,ideosyncratic
13,2004-03-17,2004-08-11,8,3,"HG=F,ZM=F,ZW=F",3.0,1,13,multi-asset
14,2004-09-29,2005-01-03,5,2,"HG=F,NG=F",1.0,1,2,multi-asset
15,2005-05-26,2005-06-27,2,2,"HG=F,ZM=F",2.0,2,2,multi-asset
16,2005-11-29,2005-11-29,1,1,HG=F,1.0,1,1,ideosyncratic
17,2006-02-07,2006-02-07,1,1,GC=F,5.0,5,5,ideosyncratic
18,2006-04-17,2006-04-21,2,2,"GC=F,HG=F",59.5,52,67,multi-asset
19,2006-07-14,2006-07-14,1,1,ZW=F,2.0,2,2,ideosyncratic
20,2006-09-05,2006-11-10,5,4,"GC=F,HG=F,NG=F,ZW=F",5.0,1,10,multi-asset
21,2007-01-03,2007-01-12,2,2,"HG=F,ZM=F",1.0,1,1,multi-asset
22,2007-07-16,2007-08-16,2,2,"HG=F,ZM=F",1.5,1,2,multi-asset
23,2007-11-12,2007-11-14,2,2,"GC=F,HG=F",9.0,6,12,multi-asset
24,2008-02-22,2008-03-31,6,4,"GC=F,ZM=F,ZW=F,^GSPC",5.5,1,266,multi-asset
25,2008-06-05,2009-03-11,17,5,"CL=F,HG=F,ZM=F,ZW=F,^GSPC",11.0,1,151,multi-asset
26,2009-05-15,2009-10-29,12,4,"HG=F,NG=F,ZM=F,ZW=F",1.0,1,11,multi-asset
27,2010-03-31,2010-05-17,3,3,"HG=F,ZM=F,^GSPC",5.0,1,21,multi-asset
28,2010-07-07,2010-07-30,2,1,ZW=F,7.5,7,8,ideosyncratic
29,2010-10-08,2010-11-12,4,3,"NG=F,ZM=F,ZW=F",1.0,1,3,multi-asset
