tkr,year,onset,end,duration,onset_pos,Cluster_ID,n_assets_in_cluster,n_epis_in_cluster,Cluster_Type
^GSPC,2000,2000-03-16,2000-03-16,1,50,0,1,2,ideosyncratic
^GSPC,2000,2000-04-13,2000-04-18,4,70,0,1,2,ideosyncratic
ZM=F,2000,2000-07-17,2000-07-17,1,134,1,1,1,ideosyncratic
NG=F,2000,2000-12-06,2000-12-15,8,234,2,2,6,multi-asset
NG=F,2001,2001-01-02,2001-01-02,1,251,2,2,6,multi-asset
^GSPC,2001,2001-01-02,2001-01-03,2,251,2,2,6,multi-asset
NG=F,2001,2001-01-17,2001-01-17,1,261,2,2,6,multi-asset
NG=F,2001,2001-01-31,2001-02-05,4,271,2,2,6,multi-asset
^GSPC,2001,2001-03-09,2001-04-10,23,297,2,2,6,multi-asset
ZW=F,2001,2001-07-13,2001-07-13,1,384,3,1,1,ideosyncratic
GC=F,2001,2001-09-14,2001-09-14,1,428,4,4,4,multi-asset
^GSPC,2001,2001-09-17,2001-09-24,6,429,4,4,4,multi-asset
CL=F,2001,2001-09-24,2001-09-24,1,434,4,4,4,multi-asset
NG=F,2001,2001-09-27,2001-09-27,1,437,4,4,4,multi-asset
CL=F,2001,2001-11-14,2001-11-16,3,471,5,2,2,multi-asset
NG=F,2001,2001-12-27,2001-12-27,1,500,5,2,2,multi-asset
^GSPC,2002,2002-07-05,2002-09-04,43,632,6,1,1,ideosyncratic
^GSPC,2002,2002-09-19,2002-10-16,20,685,7,2,2,multi-asset
ZW=F,2002,2002-10-15,2002-10-15,1,703,7,2,2,multi-asset
GC=F,2003,2003-02-12,2003-02-19,5,785,8,3,3,multi-asset
NG=F,2003,2003-02-24,2003-03-03,6,792,8,3,3,multi-asset
CL=F,2003,2003-03-18,2003-03-21,4,808,8,3,3,multi-asset
ZW=F,2003,2003-05-09,2003-05-09,1,845,9,1,1,ideosyncratic
ZM=F,2003,2003-07-14,2003-07-15,2,889,10,1,1,ideosyncratic
ZM=F,2003,2003-09-15,2003-09-15,1,933,11,1,1,ideosyncratic
ZW=F,2003,2003-12-30,2004-01-02,3,1007,12,1,1,ideosyncratic
ZW=F,2004,2004-03-17,2004-03-22,4,1060,13,3,8,multi-asset
ZM=F,2004,2004-04-15,2004-04-15,1,1080,13,3,8,multi-asset
HG=F,2004,2004-04-20,2004-04-21,2,1083,13,3,8,multi-asset
ZM=F,2004,2004-05-12,2004-05-20,7,1099,13,3,8,multi-asset
ZM=F,2004,2004-05-26,2004-06-03,6,1109,13,3,8,multi-asset
ZM=F,2004,2004-07-06,2004-07-22,13,1136,13,3,8,multi-asset
ZM=F,2004,2004-07-28,2004-07-28,1,1152,13,3,8,multi-asset
ZM=F,2004,2004-08-11,2004-08-11,1,1162,13,3,8,multi-asset
NG=F,2004,2004-09-29,2004-09-29,1,1196,14,2,5,multi-asset
HG=F,2004,2004-10-13,2004-10-13,1,1206,14,2,5,multi-asset
HG=F,2004,2004-10-29,2004-10-29,1,1218,14,2,5,multi-asset
NG=F,2004,2004-11-24,2004-11-24,1,1236,14,2,5,multi-asset
HG=F,2005,2005-01-03,2005-01-04,2,1262,14,2,5,multi-asset
HG=F,2005,2005-05-26,2005-05-27,2,1362,15,2,2,multi-asset
ZM=F,2005,2005-06-27,2005-06-28,2,1383,15,2,2,multi-asset
HG=F,2005,2005-11-29,2005-11-29,1,1492,16,1,1,ideosyncratic
GC=F,2006,2006-02-07,2006-02-13,5,1539,17,1,1,ideosyncratic
GC=F,2006,2006-04-17,2006-07-21,67,1586,18,2,2,multi-asset
HG=F,2006,2006-04-21,2006-07-06,52,1590,18,2,2,multi-asset
ZW=F,2006,2006-07-14,2006-07-17,2,1648,19,1,1,ideosyncratic
GC=F,2006,2006-09-05,2006-09-18,10,1685,20,4,5,multi-asset
NG=F,2006,2006-09-28,2006-09-28,1,1702,20,4,5,multi-asset
GC=F,2006,2006-09-28,2006-10-04,5,1702,20,4,5,multi-asset
